关键词,编码,品目名称,保留
机载超短波电台,A02080103,航空无线电通信设备,True
机载宽频带电台,A02080103,航空无线电通信设备,True
机载救生电台,A02080103,航空无线电通信设备,True
机载机内通话器,A02080103,航空无线电通信设备,True
航空无线电通信地面设备,A02080103,航空无线电通信设备,True
舰船无线电通信设备,A02080104,舰船无线电通信设备,True
舰船超短波电台,A02080104,舰船无线电通信设备,True
舰船宽频带电台,A02080104,舰船无线电通信设备,True
舰船救生无线电设备,A02080104,舰船无线电通信设备,True
舰船值班接收机,A02080104,舰船无线电通信设备,True
舰船进出港电台,A02080104,舰船无线电通信设备,True
铁道无线电通信设备,A02080105,铁道无线电通信设备,True
列车电台，站场电台，列车接近,A02080105,铁道无线电通信设备,True
告警设备，铁路无线电通信中继器，铁路专用电话机,A02080105,铁道无线电通信设备,True
邮电无线电通信设备,A02080106,邮电无线电通信设备,True
气象通信无线电通信设备,A02080107,气象通信无线电通信设备,True
无线电反制设备,A02080108,无线电反制设备,True
其他无线电通信设备,A02080199,其他无线电通信设备,True
接力通信系统设备,A02080200,接力通信系统设备,True
超短波接力通信设备,A02080201,超短波接力通信设备,True
模拟微波接力通信设备,A02080202,模拟微波接力通信设备,True
模拟微波接力通信机,A02080202,模拟微波接力通信设备,True
模拟微波接力中继器,A02080202,模拟微波接力通信设备,True
模拟微波接力无人值守机,A02080202,模拟微波接力通信设备,True
模拟微波接力配套设备,A02080202,模拟微波接力通信设备,True
数字微波接力通信设备,A02080203,数字微波接力通信设备,True
数字微波接力通信机,A02080203,数字微波接力通信设备,True
数字微波接力中继器,A02080203,数字微波接力通信设备,True
数字微波接力无人值守机,A02080203,数字微波接力通信设备,True
数字微波接力配套设备,A02080203,数字微波接力通信设备,True
电视微波接力设备,A02080204,电视微波接力设备,True
其他接力通信系统设备,A02080299,其他接力通信系统设备,True
散射通信设备,A02080300,散射通信设备,True
散射通信机,A02080301,散射通信机,True
数字散射通信机,A02080301,散射通信机,True
模拟散射通信机,A02080301,散射通信机,True
移动散射通信机,A02080301,散射通信机,True
流星余迹散射通信机,A02080301,散射通信机,True
散射通信配套设备,A02080302,散射通信配套设备,True
散射通信保密设备,A02080302,散射通信配套设备,True
其他散射通信设备,A02080399,其他散射通信设备,True
卫星通信设备,A02080400,卫星通信设备,True
地面站天线设备,A02080401,地面站天线设备,True
卫星通信地球站天线设备,A02080401,地面站天线设备,True
海事卫星通信地球站天线设备,A02080401,地面站天线设备,True
气象卫星通信地球站天线设备,A02080401,地面站天线设备,True
广播电视卫星天线设备,A02080401,地面站天线设备,True
特种卫星通信天线设备,A02080401,地面站天线设备,True
上行线通信设备,A02080402,上行线通信设备,True
卫星通信上行线通信设备,A02080402,上行线通信设备,True
海事卫星通信上行线通信设备,A02080402,上行线通信设备,True
气象卫星通信上行线通信设备,A02080402,上行线通信设备,True
广播电视卫星上行线通信设备,A02080402,上行线通信设备,True
特种卫星通信上行线通信设备,A02080402,上行线通信设备,True
下行线通信设备,A02080403,下行线通信设备,True
卫星通信下行线通信设备,A02080403,下行线通信设备,True
海事卫星通信下行线通信设备,A02080403,下行线通信设备,True
气象卫星通信下行线通信设备,A02080403,下行线通信设备,True
广播电视卫星下行线通信设备,A02080403,下行线通信设备,True
特种卫星通信下行线通信设备,A02080403,下行线通信设备,True
通信卫星配套设备,A02080404,通信卫星配套设备,True
卫星转发器设备,A02080404,通信卫星配套设备,True
卫星通信保密设备,A02080404,通信卫星配套设备,True
卫星电视转播设备,A02080405,卫星电视转播设备,True
气象卫星地面发布站设备,A02080406,气象卫星地面发布站设备,True
气象卫星地面接收站设备,A02080407,气象卫星地面接收站设备,True
气象卫星地面数据收集站设备,A02080408,气象卫星地面数据收集站设备,True
卫星电话,A02080409,卫星电话,True
其他卫星通信设备,A02080499,其他卫星通信设备,True
光通信设备,A02080500,光通信设备,True
光缆通信终端设备,A02080501,光缆通信终端设备,True
光通信中继设备,A02080502,光通信中继设备,True
光通信复用设备,A02080503,光通信复用设备,True
光通信配套设备,A02080504,光通信配套设备,True
光纤放大器,A02080505,光纤放大器,True
合波器,A02080506,合波器,True
分波器,A02080507,分波器,True
光纤色散补偿装置,A02080508,光纤色散补偿装置,True
无纤光通信设备,A02080509,无纤光通信设备,True
脉冲编码调制终端设备,A02080510,脉冲编码调制终端设备,True
多业务传输送设备,A02080511,多业务传输送设备,True
光传送网设备,A02080512,光传送网设备,True
其他光通信设备,A02080599,其他光通信设备,True
载波通信系统设备,A02080600,载波通信系统设备,True
电缆载波通信设备,A02080601,电缆载波通信设备,True
电力线载波通信设备,A02080602,电力线载波通信设备,True
矿用及矿山采选用载波通信设备,A02080603,矿用及矿山采选用载波通信设备,True
微波通信用载波通信设备,A02080604,微波通信用载波通信设备,True
载波电报机及载波业务通信设备,A02080605,载波电报机及载波业务通信设备,True
单路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
3 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
12 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
18 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
24 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
60 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
120 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
300 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
960 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
1800 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
3600 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
4380 路载波通信设备,A02080605,载波电报机及载波业务通信设备,True
载波电报机,A02080605,载波电报机及载波业务通信设备,True
用户环路载波传输设备,A02080605,载波电报机及载波业务通信设备,True
其他载波通信系统设备,A02080699,其他载波通信系统设备,True
电话通信设备,A02080700,电话通信设备,True
普通电话机,A02080701,普通电话机,True
磁石电话机,A02080701,普通电话机,True
共电电话机,A02080701,普通电话机,True
拨盘式电话机,A02080701,普通电话机,True
按键式电话机,A02080701,普通电话机,True
特种电话机,A02080702,特种电话机,True
录音电话机,A02080702,特种电话机,True
投币电话机,A02080702,特种电话机,True
可视电话机,A02080702,特种电话机,True
移动电话,A02080703,移动电话,True
袖珍式无线电话机,A02080703,移动电话,True
机载式无线电话机,A02080703,移动电话,True
船载式无线电话机,A02080703,移动电话,True
车载式无线电话机,A02080703,移动电话,True
便携式无线电话机,A02080703,移动电话,True
电话交换设备,A02080704,电话交换设备,True
数字程控电话交换设备,A02080704,电话交换设备,True
会议电话调度设备及市话中继设备,A02080705,会议电话调度设备及市话中继设备,True
其他电话通信设备,A02080799,其他电话通信设备,True
视频会议系统设备,A02080800,视频会议系统设备,True
视频会议控制台,A02080801,视频会议控制台,True
视频会议多点控制器,A02080802,视频会议多点控制器,True
视频会议会议室终端,A02080803,视频会议会议室终端,True
音视频矩阵,A02080804,音视频矩阵,True
视频会议系统及会议室音频系统,A02080805,视频会议系统及会议室音频系统,True
视频会议多点控制器（MCU）,A02080805,视频会议系统及会议室音频系统,True
视频会议终端,A02080805,视频会议系统及会议室音频系统,True
视频会议系统管理平台,A02080805,视频会议系统及会议室音频系统,True
录播服务器,A02080805,视频会议系统及会议室音频系统,True
中控系统,A02080805,视频会议系统及会议室音频系统,True
会议室音频设备,A02080805,视频会议系统及会议室音频系统,True
信号处理设备,A02080805,视频会议系统及会议室音频系统,True
会议室视频显示设备,A02080805,视频会议系统及会议室音频系统,True
图像采集系统,A02080805,视频会议系统及会议室音频系统,True
其他视频会议系统设备,A02080899,其他视频会议系统设备,True
电报通信设备,A02080900,电报通信设备,True
收发报机,A02080901,收发报机,True
电传打字机,A02080902,电传打字机,True
汉字电传打字机,A02080902,电传打字机,True
西文电传打字机,A02080902,电传打字机,True
凿孔设备,A02080903,凿孔设备,True
译码设备,A02080904,译码设备,True
人工用户电报交换设备,A02080905,人工用户电报交换设备,True
用户电报自动交换设备,A02080906,用户电报自动交换设备,True
智能电报终端设备,A02080907,智能电报终端设备,True
声校微机电报打印设备,A02080908,声校微机电报打印设备,True
数字电报通信设备,A02080909,数字电报通信设备,True
数字式程控电报交换机,A02080909,数字电报通信设备,True
纠错设备,A02080910,纠错设备,True
转换设备,A02080911,转换设备,True
电报加密机,A02080912,电报加密机,True
无线电报接收设备,A02080913,无线电报接收设备,True
其他电报通信设备,A02080999,其他电报通信设备,True
传真通信设备,A02081000,传真通信设备,True
文件(图文)传真机,A02081001,文件(图文)传真机,True
其他传真通信设备,A02081099,其他传真通信设备,True
报纸传真机,A02081099,其他传真通信设备,True
信函传真机,A02081099,其他传真通信设备,True
气象图传真机,A02081099,其他传真通信设备,True
卫星云图传真机,A02081099,其他传真通信设备,True
雷达图像传真机,A02081099,其他传真通信设备,True
相片传真机,A02081099,其他传真通信设备,True
PC-FAX 图像处理传真通信设备,A02081099,其他传真通信设备,True
IP 传真机,A02081099,其他传真通信设备,True
数据数字通信设备,A02081100,数据数字通信设备,True
数据调制、解调设备,A02081101,数据调制、解调设备,True
数传机,A02081102,数传机,True
数据复接交换设备,A02081103,数据复接交换设备,True
脉码调制终端设备,A02081104,脉码调制终端设备,True
增量调制终端设备,A02081105,增量调制终端设备,True
数字电话电报终端机,A02081106,数字电话电报终端机,True
数据、多媒体通信终端设备,A02081107,数据、多媒体通信终端设备,True
数据通信终端设备,A02081107,数据、多媒体通信终端设备,True
多媒体通信终端设备,A02081107,数据、多媒体通信终端设备,True
其他数据数字通信设备,A02081199,其他数据数字通信设备,True
225MHz～450MHz 数字接力设备,A02081200,微波接力通信设备,True
450MHz～800MHz数字接力设备,A02081200,微波接力通信设备,True
1GHz 数字接力设备,A02081200,微波接力通信设备,True
ATM 交换机,A02081300,IP 与多媒体通信设备,True
帧中继交换机,A02081300,IP 与多媒体通信设备,True
统一通信设备,A02081300,IP 与多媒体通信设备,True
通信设备维修备件,A02081400,通信配套设备,True
通信设备配套架设安装设备,A02081400,通信配套设备,True
通信机房设备,A02081500,通信机房设备,True
发射天线,A02081601,发射天线,True
中短波天线,A02081601,发射天线,True
短波转动天线,A02081601,发射天线,True
蝙蝠翼天线,A02081601,发射天线,True
双环天线,A02081601,发射天线,True
角锤天线,A02081601,发射天线,True
天线控制器,A02081601,发射天线,True
接收天线,A02081602,接收天线,True
拉杆天线,A02081602,接收天线,True
振子天线,A02081602,接收天线,True
环形天线,A02081602,接收天线,True
鱼骨天线,A02081602,接收天线,True
其他天线,A02081699,其他天线,True
无线传输辅助设备,A02081700,无线传输辅助设备,True
铁塔无线传输设备,A02081701,铁塔无线传输设备,True
铁杆无线传输设备,A02081702,铁杆无线传输设备,True
水泥杆无线传输设备,A02081703,水泥杆无线传输设备,True
基站配套设备,A02081704,基站配套设备,True
室外机柜（箱）,A02081704,基站配套设备,True
集成一体化方舱等防护安装设备,A02081704,基站配套设备,True
其他无线传输辅助设备,A02081799,其他无线传输辅助设备,True
有线传输线路,A02081800,有线传输线路,True
管孔传输线路,A02081801,管孔传输线路,True
铁塔传输线路,A02081802,铁塔传输线路,True
铁杆传输线路,A02081803,铁杆传输线路,True
水泥杆传输线路,A02081804,水泥杆传输线路,True
木杆传输线路,A02081805,木杆传输线路,True
直埋传输线路,A02081806,直埋传输线路,True
其他有线传输线路,A02081899,其他有线传输线路,True
通信网络维护和管理系统,A02081900,通信网络维护和管理系统,True
通信设备零部件,A02082000,通信设备零部件,True
其他通信设备,A02089900,其他通信设备,True
广播、电视、电影设备,A02090000,广播、电视、电影设备,True
广播发射设备,A02090100,广播发射设备,True
中波广播发射机,A02090101,中波广播发射机,True
短波广播发射机,A02090102,短波广播发射机,True
调频广播发射机,A02090103,调频广播发射机,True
调频立体声广播发射机,A02090104,调频立体声广播发射机,True
调频广播差转台,A02090105,调频广播差转台,True
立体声调频广播差转机入此,A02090105,调频广播差转台,True
机动广播发射台,A02090106,机动广播发射台,True
数字音频广播发射机,A02090107,数字音频广播发射机,True
其他广播发射设备,A02090199,其他广播发射设备,True
电视发射设备,A02090200,电视发射设备,True
米波电视发射机,A02090201,米波电视发射机,True
分米波电视发射机,A02090202,分米波电视发射机,True
双伴音电视发射机,A02090203,双伴音电视发射机,True
电视差转机,A02090204,电视差转机,True
机动电视发射台,A02090205,机动电视发射台,True
数字广播电视发射机,A02090206,数字广播电视发射机,True
其他电视发射设备,A02090299,其他电视发射设备,True
可接收无线电话,A02090300,广播和电视接收设备,True
无线电报的广播接收机,A02090300,广播和电视接收设备,True
机动车辆用需外接电源的广播接收设备,A02090300,广播和电视接收设备,True
音频节目制作和播控设备,A02090400,音频节目制作和播控设备,True
广播录放音设备,A02090401,广播录放音设备,True
调音台,A02090402,调音台,True
监听机（机组）,A02090403,监听机（机组）,True
声处理设备,A02090404,声处理设备,True
电视通用,A02090404,声处理设备,True
收音设备,A02090405,收音设备,True
播控设备,A02090406,播控设备,True
其他音频节目制作和播控设备,A02090499,其他音频节目制作和播控设备,True
视频节目制作和播控设备,A02090500,视频节目制作和播控设备,True
电视录制及电视播出中心设备,A02090501,电视录制及电视播出中心设备,True
电视制作中心设备,A02090501,电视录制及电视播出中心设备,True
电视播出中心设备,A02090501,电视录制及电视播出中心设备,True
机动电视转播及电视播出采访设备,A02090502,机动电视转播及电视播出采访设备,True
机动电视转播中心,A02090502,机动电视转播及电视播出采访设备,True
机动新闻采访设备,A02090502,机动电视转播及电视播出采访设备,True
录像编辑设备,A02090503,录像编辑设备,True
自动编辑机,A02090503,录像编辑设备,True
时基校正器,A02090503,录像编辑设备,True
动画录像控制器,A02090503,录像编辑设备,True
非线性编辑设备,A02090503,录像编辑设备,True
专业摄像机和信号源设备,A02090504,专业摄像机和信号源设备,True
广播级摄像机,A02090504,专业摄像机和信号源设备,True
准广播级摄像机,A02090504,专业摄像机和信号源设备,True
业务摄像机,A02090504,专业摄像机和信号源设备,True
电视电影设备,A02090504,专业摄像机和信号源设备,True
字幕信号发生器,A02090504,专业摄像机和信号源设备,True
时钟信号设备,A02090504,专业摄像机和信号源设备,True
虚拟演播室设备,A02091109,虚拟演播室设备,True
视频信息处理设备,A02090505,视频信息处理设备,True
特技视频处理设备,A02090505,视频信息处理设备,True
视频切换设备,A02090505,视频信息处理设备,True
静止图像存储器,A02090505,视频信息处理设备,True
视频分配放大器,A02090505,视频信息处理设备,True
稳定放大器,A02090505,视频信息处理设备,True
视频降噪器,A02090505,视频信息处理设备,True
色键设备,A02090505,视频信息处理设备,True
数字电视编解码器,A02090505,视频信息处理设备,True
复用器,A02090505,视频信息处理设备,True
电视信号同步设备,A02090506,电视信号同步设备,True
电视同步信号发生器,A02090506,电视信号同步设备,True
帧同步器,A02090506,电视信号同步设备,True
脉冲分配放大器,A02090506,电视信号同步设备,True
电视图文创作系统设备,A02090507,电视图文创作系统设备,True
其他视频节目制作和播控设备,A02090599,其他视频节目制作和播控设备,True
多工广播设备,A02090600,多工广播设备,True
立体电视设备,A02090700,立体电视设备,True
卫星直播接收设备,A02090800,卫星广播电视设备,True
集体接收设备,A02090801,集体接收设备,True
上行站接收设备,A02090802,上行站接收设备,True
接收测试站设备,A02090803,接收测试站设备,True
普及型卫星广播电视接收附加装置,A02090804,普及型卫星广播电视接收附加装置,True
其他卫星广播电视设备,A02090899,其他卫星广播电视设备,True
电缆电视分配系统设备,A02090900,电缆电视分配系统设备,True
共用天线电视系统设备,A02090901,共用天线电视系统设备,True
单向电缆电视系统设备,A02090902,单向电缆电视系统设备,True
双向电缆电视系统设备,A02090903,双向电缆电视系统设备,True
光缆电视分配系统设备,A02090904,光缆电视分配系统设备,True
其他电缆电视分配系统设备,A02090999,其他电缆电视分配系统设备,True
电视设备,A02091000,电视设备,True
普通电视设备（电视机）,A02091001,普通电视设备（电视机）,True
有线电视前端设备,A02091001,普通电视设备（电视机）,True
有线电视终端设备,A02091001,普通电视设备（电视机）,True
有线电视传输覆盖设备,A02091001,普通电视设备（电视机）,True
特殊环境应用电视监视设备,A02091002,特殊环境应用电视监视设备,True
微光电视设备,A02091002,特殊环境应用电视监视设备,True
高温电视设备,A02091002,特殊环境应用电视监视设备,True
防爆电视设备,A02091002,特殊环境应用电视监视设备,True
防腐电视设备,A02091002,特殊环境应用电视监视设备,True
防潮电视设备,A02091002,特殊环境应用电视监视设备,True
特殊功能应用电视设备,A02091003,特殊功能应用电视设备,True
侦察电视设备,A02091003,特殊功能应用电视设备,True
测量电视设备,A02091003,特殊功能应用电视设备,True
跟踪电视设备,A02091003,特殊功能应用电视设备,True
显微电视设备,A02091003,特殊功能应用电视设备,True
特种成像应用电视设备,A02091004,特种成像应用电视设备,True
X 光电视设备,A02091004,特种成像应用电视设备,True
紫外电视设备,A02091004,特种成像应用电视设备,True
红外电视设备,A02091004,特种成像应用电视设备,True
其他电视设备,A02091099,其他电视设备,True
视频设备,A02091100,视频设备,True
录像机,A02091101,录像机,True
光盘录像设备,A02091101,录像机,True
磁带型录像机,A02091101,录像机,True
通用摄像机,A02091102,通用摄像机,True
普通摄像机，包括摄像机附件设备,A02091102,通用摄像机,True
摄录一体机,A02091103,摄录一体机,True
平板显示设备,A02091104,平板显示设备,True
电视唱盘,A02091105,电视唱盘,True
激光视盘机,A02091106,激光视盘机,True
VCD,A02091106,激光视盘机,True
DVD 等设备入此,A02091106,激光视盘机,True
视频监控设备,A02091107,视频监控设备,True
监控摄像机,A02091107,视频监控设备,True
报警传感器,A02091107,视频监控设备,True
数字硬盘录像机,A02091107,视频监控设备,True
视频分割器,A02091107,视频监控设备,True
监控电视墙（拼接显示器）,A02091107,视频监控设备,True
监视器,A02091107,视频监控设备,True
门禁系统,A02091107,视频监控设备,True
视频处理器,A02091108,视频处理器,True
字幕机,A02091110,字幕机,True
其他视频设备,A02091199,其他视频设备,True
音频设备,A02091200,音频设备,True
录放音机,A02091201,录放音机,True
收音机,C10020300,机械和设备制造业服务,True
音频功率放大器设备（功放设备）,A02091203,音频功率放大器设备（功放设备）,True
电唱机,A02091204,电唱机,True
单声道唱机,A02091204,电唱机,True
立体声唱机,A02091204,电唱机,True
音响电视组合机,A02091205,音响电视组合机,True
话筒设备,A02091206,话筒设备,True
电话会议用全向麦克风,A02091206,话筒设备,True
数码音频工作站及配套设备,A02091207,数码音频工作站及配套设备,True
声画编辑机,A02091208,声画编辑机,True
录音外围设备,A02091209,录音外围设备,True
效果器,A02091209,录音外围设备,True
特效器,A02091209,录音外围设备,True
压缩器,A02091209,录音外围设备,True
扩音设备,A02091210,扩音设备,True
复读机,A02091212,复读机,True
语音语言实验室设备,A02091213,语音语言实验室设备,True
其他音频设备,A02091299,其他音频设备,True
组合音像设备,A02091300,组合音像设备,True
音视频播放设备,A02091301,音视频播放设备,True
闭路播放设备,A02091302,闭路播放设备,True
同声现场翻译设备及附属设备,A02091303,同声现场翻译设备及附属设备,True
会议、广播及音乐欣赏系统,A02091304,会议、广播及音乐欣赏系统,True
其他组合音像设备,A02091399,其他组合音像设备,True
播出设备,A02091400,播出设备,True
机械手播出设备,A02091401,机械手播出设备,True
硬盘播出设备,A02091402,硬盘播出设备,True
播出周边设备,A02091403,播出周边设备,True
其他播出设备,A02091499,其他播出设备,True
电影设备,A02091500,电影设备,True
传版设备,A02091501,传版设备,True
远程数据传播设备,A02091501,传版设备,True
编辑、采访设备,A02091502,编辑、采访设备,True
压片加工设备,A02091503,压片加工设备,True
密纹压片机,A02091503,压片加工设备,True
配套设备,A02091505,盒式音带加工设备,True
刻纹设备,A02091503,压片加工设备,True
制模板设备,A02091503,压片加工设备,True
造粒机,A02091503,压片加工设备,True
附属设备,A02091503,压片加工设备,True
薄膜压片机,A02091503,压片加工设备,True
唱机生产设备,A02091504,唱机生产设备,True
盒式音带加工设备,A02091505,盒式音带加工设备,True
盒带快速复制设备,A02091505,盒式音带加工设备,True
裁带机,A02091505,盒式音带加工设备,True
贴片机,A02091505,盒式音带加工设备,True
包装机,A02261800,烟用包装机械,True
影视片制作、维护设备,A02091506,影视片制作、维护设备,True
用于影视片的剪辑,A02091506,影视片制作、维护设备,True
制作等设备,A02091506,影视片制作、维护设备,True
其他电影设备,A02091599,其他电影设备,True
有线传声器,A02091600,传声器、扬声器、耳塞机,True
其座架,A02091600,传声器、扬声器、耳塞机,True
无线传声器,A02091600,传声器、扬声器、耳塞机,True
扬声器,A02091600,传声器、扬声器、耳塞机,True
无线寻呼机,A02091700,无线寻呼机,True
磁(纹)卡和集成电路卡,A02091800,磁(纹)卡和集成电路卡,True
广播、电视、电影设备零部件,A02091900,广播、电视、电影设备零部件,True
其他广播、电视、电影设备,A02099900,其他广播、电视、电影设备,True
仪器仪表,C23130700,机械设备、五金交电和电子产品批发服务,True
自动化仪表,A02100100,自动化仪表,True
温度仪表,A02100101,温度仪表,True
双金属温度计,A02100101,温度仪表,True
压力式温度计,A02100101,温度仪表,True
热电偶温度计,A02100101,温度仪表,True
热敏电阻温度测量仪器,A02100101,温度仪表,True
非接触式温度计,A02100101,温度仪表,True
温度控制(调节)器,A02100101,温度仪表,True
温度变送器,A02100101,温度仪表,True
温度仪表校验装置,A02100101,温度仪表,True
温度仪表附属装置,A02100101,温度仪表,True
压力仪表,A02100102,压力仪表,True
弹簧管压力仪表,A02100102,压力仪表,True
波纹管压力仪表,A02100102,压力仪表,True
膜片压力仪表,A02100102,压力仪表,True
膜盒压力仪表,A02100102,压力仪表,True
数字压力表,A02100102,压力仪表,True
电接点压力表,A02100102,压力仪表,True
真空表,A02100102,压力仪表,True
氧压力表,A02100102,压力仪表,True
氯压力表,A02100102,压力仪表,True
氨压力表,A02100102,压力仪表,True
氢压力表,A02100102,压力仪表,True
乙炔压力表,A02100102,压力仪表,True
耐腐蚀压力表,A02100102,压力仪表,True
耐振压力表,A02100102,压力仪表,True
高温压力表,A02100102,压力仪表,True
专用压力表,A02100102,压力仪表,True
减压器,A02100102,压力仪表,True
压力变送器,A02100102,压力仪表,True
压力控制(调节)仪表,A02100102,压力仪表,True
压力表校验仪表,A02100102,压力仪表,True
压力仪表辅助装置,A02100102,压力仪表,True
流量仪表,A02100103,流量仪表,True
差压仪表,A02100103,流量仪表,True
涡轮流量仪表,A02100103,流量仪表,True
浮(转)子流量仪表,A02100103,流量仪表,True
电磁流量仪表,A02100103,流量仪表,True
椭圆齿轮流量仪表,A02100103,流量仪表,True
腰轮流量仪表,A02100103,流量仪表,True
活塞式流量仪表,A02100103,流量仪表,True
圆盘流量仪表,A02100103,流量仪表,True
刮板流量仪表,A02100103,流量仪表,True
涡街流量仪表,A02100103,流量仪表,True
超声流量仪表,A02100103,流量仪表,True
蒸气流量仪表,A02100103,流量仪表,True
质量流量仪表,A02100103,流量仪表,True
节流装置,A02100103,流量仪表,True
流量控制(调节)仪表,A02100103,流量仪表,True
流量仪表检定装置,A02100103,流量仪表,True
物位及机械量仪表,A02100104,物位及机械量仪表,True
物位仪表,A02100104,物位及机械量仪表,True
机械量仪表,A02100104,物位及机械量仪表,True
显示及调节仪表,A02100105,显示及调节仪表,True
显示仪表系统,A02100105,显示及调节仪表,True
控制(调节)仪表系统,A02100105,显示及调节仪表,True
气动、电动单元组合仪表,A02100106,气动、电动单元组合仪表,True
气动单元组合仪表,A02100106,气动、电动单元组合仪表,True
电动单元组合仪表,A02100106,气动、电动单元组合仪表,True
基地式仪表,A02100107,基地式仪表,True
B 系列气动基地式仪表,A02100107,基地式仪表,True
KF 系列气动基地式仪表,A02100107,基地式仪表,True
绘图仪,A02100108,绘图仪,True
绘图机，绘图台，其他绘图,A02100108,绘图仪,True
数学绘图仪器,A02100108,绘图仪,True
集中控制装置,A02100109,集中控制装置,True
巡回检测装置,A02100109,集中控制装置,True
组装式电子综合控制装置,A02100109,集中控制装置,True
远动装置,A02100109,集中控制装置,True
锅炉控制设备,A02100109,集中控制装置,True
执行器,A02100110,执行器,True
气动执行机构,A02100110,执行器,True
电动执行机构,A02100110,执行器,True
电液执行机构,A02100110,执行器,True
执行器辅助装置,A02100110,执行器,True
自动成套控制系统,A02100111,自动成套控制系统,True
轮胎硫化自控装置,A02100111,自动成套控制系统,True
塑料注射机控制装置,A02100111,自动成套控制系统,True
计算机控制与管理系统,A02100111,自动成套控制系统,True
工业自动测试系统,A02100111,自动成套控制系统,True
工业控制用计算机系统,A02100112,工业控制用计算机系统,True
集中型工业控制计算机系统,A02100112,工业控制用计算机系统,True
智能自动化系统,A02100112,工业控制用计算机系统,True
分散型控制系统,A02100112,工业控制用计算机系统,True
现场总线控制系统,A02100112,工业控制用计算机系统,True
其他自动化仪表,A02100199,其他自动化仪表,True
电工仪器仪表,A02100200,电工仪器仪表,True
电度表,A02100201,电度表,True
机电式电能表,A02100201,电度表,True
电子式电能表,A02100201,电度表,True
电能表用附件,A02100201,电度表,True
实验室电工仪器及指针式电表,A02100202,实验室电工仪器及指针式电表,True
教学演示用实验室机械式电表,A02100202,实验室电工仪器及指针式电表,True
数字电网监测表,A02100203,数字电网监测表,True
电流测量仪表，电压测量仪表，功率测量仪表，频率测量仪表，电阻测量仪表，相位,A02100203,数字电网监测表,True
功率因数测量仪表，多功能测量仪表，模拟静电场测试仪，霍尔元件测磁场装置,A02100203,数字电网监测表,True
电阻测量仪器,A02100204,电阻测量仪器,True
记录电表、电磁示波器,A02100205,记录电表、电磁示波器,True
记录电表,A02100205,记录电表、电磁示波器,True
电磁示波器,A02100205,记录电表、电磁示波器,True
测磁仪器,A02100206,测磁仪器,True
扩大量程装置,A02100207,扩大量程装置,True
分流器,A02100207,扩大量程装置,True
仪用互感器,A02100207,扩大量程装置,True
附加电阻器,A02100207,扩大量程装置,True
其他电工仪器仪表,A02100299,其他电工仪器仪表,True
光学仪器,C10020300,机械和设备制造业服务,True
显微镜,A02100301,显微镜,True
电子显微镜,A02100301,显微镜,True
光学计量仪器,A02100302,光学计量仪器,True
长度计量仪器,A02100302,光学计量仪器,True
角度测量仪器,A02100302,光学计量仪器,True
工具显微镜,A02100302,光学计量仪器,True
三坐标测量机,A02100302,光学计量仪器,True
平直度测量仪器,A02100302,光学计量仪器,True
测量用投影仪,A02100302,光学计量仪器,True
机床附属光学装置,A02100302,光学计量仪器,True
物理光学仪器,A02100303,物理光学仪器,True
看谱镜,A02100303,物理光学仪器,True
谱线测量仪,A02100303,物理光学仪器,True
光电直读光谱仪,A02100303,物理光学仪器,True
光学测试仪器,A02100304,光学测试仪器,True
光学材料测试仪器,A02100304,光学测试仪器,True
光学零部件测试仪器,A02100304,光学测试仪器,True
通用光学测试仪器,A02100304,光学测试仪器,True
光学系统特性参数测试仪,A02100304,光学测试仪器,True
膜层测定仪,A02100304,光学测试仪器,True
光学系统像质测试仪器,A02100304,光学测试仪器,True
光学系统光度特性测试仪器,A02100304,光学测试仪器,True
电子光学及离子光学仪器,A02100305,电子光学及离子光学仪器,True
电子光学,A02100305,电子光学及离子光学仪器,True
离子光学计量仪器,A02100305,电子光学及离子光学仪器,True
离子光学测试仪器,A02100305,电子光学及离子光学仪器,True
航测仪器,A02100306,航测仪器,True
密度分割伪彩色分析仪,A02100306,航测仪器,True
转绘仪,A02100306,航测仪器,True
判读仪,A02100306,航测仪器,True
立体测图仪,A02100306,航测仪器,True
像点转刺测仪,A02100306,航测仪器,True
像点坐标量测仪,A02100306,航测仪器,True
纠正仪,A02100306,航测仪器,True
展点仪,A02100306,航测仪器,True
光谱遥感仪器,A02100307,光谱遥感仪器,True
光谱辐射计,A02100307,光谱遥感仪器,True
彩色影像扫描记录装置,A02100307,光谱遥感仪器,True
多光谱彩色合成仪,A02100307,光谱遥感仪器,True
遥感影像处理系统,A02100307,光谱遥感仪器,True
野外遥感仪器,A02100307,光谱遥感仪器,True
红外仪器,A02100308,红外仪器,True
红外辐射源,A02100308,红外仪器,True
红外辐射计,A02100308,红外仪器,True
红外测试仪器,A02100308,红外仪器,True
